# PGA460 Echo Data Dump
# Date           : 2026-03-27 11:10:48
# P1_REC         : 0
# Record time    : 4.096 ms
# FS_EDD         : 31250.0 Hz
# Sample period  : 32.00 us
# Speed of sound : 343.0 m/s
# BLANK_SAMPLES  : 16
# ECHO_THRESHOLD : 15
# First echo     : sample 17 -> 9.3 cm
# Index, Amplitude
0, 90
1, -116
2, -74
3, -117
4, -9
5, -128
6, 63
7, -78
8, -21
9, 10
10, 118
11, 19
12, -14
13, 13
14, -2
15, -109
16, 19
17, 97
18, -14
19, -31
20, 92
21, -61
22, -8
23, 19
24, 49
25, -128
26, 82
27, -61
28, 58
29, -91
30, -45
31, -16
32, 65
33, 77
34, 95
35, -61
36, -122
37, 64
38, 82
39, -95
40, -56
41, 24
42, 33
43, -61
44, 127
45, 40
46, -18
47, 43
48, 88
49, 8
50, 49
51, -104
52, 90
53, -60
54, 61
55, 52
56, 125
57, -85
58, 9
59, -126
60, -2
61, 16
62, -47
63, -32
64, 31
65, -76
66, 51
67, -86
68, -17
69, -9
70, -49
71, 36
72, -53
73, -127
74, -97
75, 36
76, -25
77, 8
78, 63
79, -112
80, -107
81, -7
82, 19
83, -28
84, -65
85, -4
86, 113
87, 52
88, 39
89, -24
90, -9
91, -110
92, 37
93, -119
94, -79
95, -55
96, 117
97, -116
98, -71
99, 34
100, -8
101, -122
102, 122
103, -97
104, -57
105, -63
106, 32
107, -31
108, 86
109, -122
110, 90
111, 104
112, 113
113, 18
114, 42
115, 96
116, -67
117, -111
118, 111
119, -62
120, 107
121, 17
122, 43
123, -45
124, -102
125, 46
126, -100
127, 96
