Sample_Index,Amplitude,Voltage
0,0,0.0000
1,0,0.0000
2,0,0.0000
3,0,0.0000
4,0,0.0000
5,0,0.0000
6,0,0.0000
7,0,0.0000
8,0,0.0000
9,0,0.0000
10,0,0.0000
11,0,0.0000
12,0,0.0000
13,0,0.0000
14,0,0.0000
15,0,0.0000
16,0,0.0000
17,0,0.0000
18,0,0.0000
19,0,0.0000
20,175,2.2647
21,255,3.3000
22,255,3.3000
23,45,0.5824
24,104,1.3459
25,54,0.6988
26,252,3.2612
27,192,2.4847
28,140,1.8118
29,0,0.0000
30,1,0.0129
31,18,0.2329
32,71,0.9188
33,255,3.3000
34,28,0.3624
35,0,0.0000
36,238,3.0800
37,124,1.6047
38,10,0.1294
39,0,0.0000
40,0,0.0000
41,0,0.0000
42,0,0.0000
43,2,0.0259
